,Restaurant Name,Notes,Address,Latitude,Longitude
,Jenni's Noodle House,"Straws, Containers for left overs or take out, Bags for left overs or take out","3111 S Shepherd Dr, Houston, TX 77098",29.7381472,-95.4103748
,Osaka Izakaya,"Straws, Containers for left overs or take out, Bags for left overs or take out","2802 S Shepherd Dr, Houston, TX 77098",29.7403729,-95.4110396
,Escalante's Mexican Restaurant,"Containers for left overs or take out, The bottom part of the take-out container was ""compostable in commercial facilities only."" The top (lid) was single use plastic.","Two Hughes Landing, 1900 Hughes Landing Blvd #100, The Woodlands, TX 77380",30.1709619,-95.4712845
,Pei Wei,"Beverage containers, Straws","14008 Memorial Dr Suite A, Houston, TX 77079",29.7714944,-95.590547
,Café Caspian,"Containers for left overs or take out, Bags for left overs or take out","12126 Westheimer Rd # 100, Houston, TX 77077",29.7371961,-95.5945934
,Hopdoddy Burger Bar,"Beverage containers, Straws","5510 Morningside Dr #100, Houston, TX 77005",29.7156773,-95.415351
,Goode Company Seafood,Straws,"2621 Westpark Dr, Houston, TX 77098",29.728285,-95.4203423
,Saltgrass Steak House,"Straws, Containers for left overs or take out, Bags for left overs or take out","215 Kipp Ave, Kemah, TX 77565",29.5472695,-95.0200347
,Miss Saigon Cafe,"Containers for left overs or take out, Bags for left overs or take out, condiment container for take out","1421 Richmond Ave, Houston, TX 77006",29.7340676,-95.3984287
,Starbucks,"Stirrers, green cup stirrers and cup lids!!","13914 Galveston Rd #100, Webster, TX 77598",29.5783152,-95.1570745
,Tai Li Chinese Restaurant,"Sides containers, Condiments containers, Bags for left overs or take out, Utensils for left overs or take out","7948 FM 1960, Humble, TX 77346",30.0022178,-95.1533663
,Fix Coffeebar,"Beverage containers, Straws","415 Westheimer Rd #101, Houston, TX 77006",29.7442412,-95.3868592
,Hyunh Restaurant,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out","912 St Emanuel St, Houston, TX 77003",29.7516754,-95.3556297
,Presidio,Straws,"911 W 11th St, Houston, TX 77008",29.7907294,-95.406688
,Tarka Indian Kitchen,"Beverage containers, Straws","721 W 19th St #7, Houston, TX 77008",29.8030045,-95.4111157
,Niko Niko's,"Beverage containers, Straws, Utensils, Condiments containers","2520 Montrose Blvd, Houston, TX 77006",29.7464826,-95.3921964
,Cavo Coffee,"Beverage containers, Straws, Utensils","3773 Richmond Ave #1F, Houston, TX 77046",29.7324177,-95.4372501
,Edison & Patton,"Straws, Containers for left overs or take out","4203 Edison St, Houston, TX 77009",29.7984211,-95.3630626
,Spanish Flowers Mexican Restaurant,Containers for left overs or take out,"4410, 4701 N Main St, Houston, TX 77009",29.7970923,-95.3819315
,Red Robin,"Straws, Condiments containers, Containers for left overs or take out","18800 Gulf Fwy, Friendswood, TX 77546",29.5471536,-95.1495489
,A 2nd Cup,"Beverage containers, Straws","1111 E 11th St, Houston, TX 77009",29.7910813,-95.3867161
,Blue Nile Ethiopian,Straws,"3030 Audley St, Houston, TX 77098",29.7375934,-95.4265625
,Corner Bakery Cafe,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers","107 Yale St Ste. 100, Houston, TX 77007",29.7726382,-95.3989044
,Beet Box Blend Bar,Plates or serving containers,"1909 W Gray St B, Houston, TX 77019",29.752679,-95.4031279
,Boston Market,"Beverage containers, Straws, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","1915 W Gray St, Houston, TX 77019",29.7526756,-95.4032745
,Panera Bread,"Beverage containers, Straws, Containers for left overs or take out, Utensils for left overs or take out","1705 W Gray St, Houston, TX 77019",29.7529705,-95.4012793
,Smashburger,Straws,"174 Yale St, Houston, TX 77007",29.773657,-95.3982499
,Time for Thai- TMC,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","6550 Bertner Ave, Houston, TX 77030",29.7095071,-95.3976386
,Mint Thai Kitchen,"Straws, Containers for left overs or take out","540 Waugh Dr A, Houston, TX 77019",29.7601874,-95.3986191
,"Snooze, an A.M. Eatery","Beverage containers, Straws","3217 Montrose Blvd #100, Houston, TX 77006",29.7440024,-95.3909796
,Fadi´s Mediterranean Grill,Utensils for left overs or take out,"12360 Westheimer Rd suite a, Houston, TX 77077",29.736676,-95.6005037
,Life Café,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out, Everything! Even the decoration","815 Town & Country Ln, Houston, TX 77024",29.781014,-95.560046
,Seiwa Market,"Beverage containers, Plates or serving containers, Sides containers, Containers for left overs or take out, Bags for left overs or take out","1801 S Dairy Ashford Rd #116, Houston, TX 77077",29.7469039,-95.6049779
,Hibachi Grill & Buffet,"Straws, but only when asked for","12183 Katy Fwy H, Houston, TX 77079",29.7831128,-95.6016941
,Burger-chan,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","5 Greenway Plaza C-630, Houston, TX 77046",29.7306564,-95.4318419
,Luna Pizzeria,"Sides containers, Bags for left overs or take out, Utensils for left overs or take out","3435 Kirby Dr, Houston, TX 77098",29.7351193,-95.4177819
,Calliope's,"Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","7590 W Bellfort St, Houston, TX 77071",29.6564126,-95.5106341
